Titre,Secteur,Ville,Prix,Annee-Modele,Boite de vitesses,Type de carburant,Kilometrage,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat
Toyota Auris Diesel Manuelle 2016 à Casablanca,Aïn Chock,Casablanca,130000,2016,Manuelle,Diesel,124999,Toyota,Auris,5,WW au Maroc,Non,6,Excellent
Volkswagen Golf 7 Diesel Automatique 2015,Ouled Oujih,Kénitra,209000,2015,Automatique,Diesel,194999,Volkswagen,Golf 7,5,Dédouanée,Non,8,Excellent
Renault Nevada Diesel Manuelle 1990 à Agadir,Amicales,Agadir,45000,1990,Manuelle,Diesel,224999,Renault,Nevada,5,Dédouanée,Non,8,Bon
Volvo s 60 automatique,2 Mars,Casablanca,150000,2016,Automatique,Diesel,274999,Volvo,S60,,,,8,Très bon
"tomobil mli7a faible consommation 1,2",Toute la ville,Ben Guerir,68000,2012,Manuelle,Essence,274999,Fiat,Linea,5,WW au Maroc,Non,8,Excellent
Peugeot 407 modèle 2006 6CV  dédouanée 2016,Centre Ville,Oujda,720000,2006,Manuelle,Diesel,274999,Peugeot,407,5,Dédouanée,Non,6,Excellent
"Mercedes GLC 220 4MATIC, tout équipé, état neuf",Ben Ejdia,Casablanca,325000,2017,Automatique,Diesel,134999,Mercedes-Benz,Classe GLC,5,WW au Maroc,Non,9,Excellent
vente voiture,Toute la ville,Errachidia,60000,2007,Manuelle,Diesel,324999,Ford,Focus,5,,Non,7,Très bon
Fiât 500,Haut Agdal,Rabat,,2008,Manuelle,Diesel,104999,Fiat,500,,,,6,Bon
chevrolet spark,Hay Nahda,Rabat,36000,2011,Manuelle,Essence,164999,Chevrolet,Spark,5,WW au Maroc,Non,6,Excellent
peugeot teppe,Saâida 1 et 2,Safi,208000,2021,Manuelle,Diesel,42499,Peugeot,Tepee,5,WW au Maroc,Oui,6,Excellent
Nissan Qashqai Diesel Manuelle 2018 à El Jadida,Hay Essalam,El Jadida,195000,2018,Manuelle,Diesel,77499,Nissan,Qashqai,5,WW au Maroc,Oui,6,Très bon
BMW X5 XDRIVE 25D,manar,Tanger,330000,2019,Automatique,Diesel,184999,BMW,X5,5,WW au Maroc,Oui,8,Excellent
Ford focus berline sport,Al Qods,Casablanca,135000,2016,Manuelle,Diesel,174999,Ford,Focus,5,,Non,6,Excellent
Renault Clio Essence Manuelle 2011 à Salé,Toute la ville,Salé,69000,2011,Manuelle,Essence,154999,Renault,Clio,5,,,7,Excellent
fiat,Hay Salam,Salé,77000,2016,Manuelle,Diesel,17499,Fiat,Grande Punto,5,WW au Maroc,Non,5,Bon
clio automatique,Hay Nahda,Rabat,,2020,Automatique,Diesel,97499,Renault,Clio,5,WW au Maroc,Non,6,Excellent
citroen c3 Essence 2006,Centre Ville,Nador,50000,2006,Manuelle,Essence,154999,Citroen,C3,5,,Non,6,Très bon
Volvo XC60 Diesel Automatique 2009 à Fès,Route Ain Chkaf,Fès,,2009,Automatique,Diesel,2499,Volvo,XC60,5,,,10,
Skoda Octavia Diesel Automatique 2018 à Salé,Said Hajji,Salé,185000,2018,Automatique,Diesel,114999,Skoda,Octavia,5,WW au Maroc,Non,8,Excellent
honda,Corniche,El Jadida,,,,Essence,,,,,,,6,
Peugeot 407 Diesel Manuelle 2006 à Fès,Centre,Fès,60000,2006,Manuelle,Diesel,134999,Peugeot,407,5,WW au Maroc,Non,8,Très bon
Renault Scenic Diesel Manuelle 1999 à Marrakech,Massira,Marrakech,45000,1999,Manuelle,Diesel,114999,Renault,Scenic,5,WW au Maroc,Non,7,Bon
Peugeot 407 Diesel Manuelle 2006 à Fès,Centre,Fès,60000,2006,Manuelle,Diesel,134999,Peugeot,407,5,WW au Maroc,Non,8,Très bon
dacia,Sidi Othmane,Casablanca,94000,2018,Manuelle,Diesel,12499,Dacia,Logan,,,,6,Très bon
Volvo v40 Rdesign,La Ville Haute,Kénitra,215000,2018,Automatique,Diesel,87499,Volvo,V40,5,WW au Maroc,Oui,6,Excellent
octavia bon état,Toute la ville,Berrechid,69000,2005,Manuelle,Diesel,324999,Skoda,Octavia,5,WW au Maroc,Oui,8,Bon
Nissan Qashqai Diesel Manuelle 2016 à Fès,Ain Amiyer,Fès,,2016,Manuelle,Diesel,104999,Nissan,Qashqai,5,WW au Maroc,Oui,6,Bon
Hyundai I30,Narjis,Fès,150000,2015,Automatique,Diesel,2499,Hyundai,ix35,5,Dédouanée,Non,8,Excellent
Audi A4 Diesel Automatique 2016 à Nador,Centre Ville,Nador,260000,2016,Automatique,Diesel,224999,Audi,A4,5,Dédouanée,,6,Excellent
h-1 hyundai,Sidi Moussa,Salé,,,,,,,,,,,,
سيارة باقة نقية لبغاخا مرحبا سمسارة لا,Centre Ville,Mohammedia,,2010,Manuelle,Diesel,12499,Peugeot,Tepee,3,WW au Maroc,Oui,6,Bon
Volvo,Centre,Kénitra,110000,2009,Automatique,Diesel,224999,Volvo,XC60,5,WW au Maroc,Non,9,Excellent
chevrolet spark - tanger,Centre ville,Tanger,38000,2011,Manuelle,Essence,134999,Chevrolet,Spark,5,WW au Maroc,Oui,5,Très bon
سيارة نقية,Route d'Agadir - Essaouira,Marrakech,,2024,Manuelle,Diesel,22499,Fiat,Tipo,5,Dédouanée,Oui,7,Très bon
Ford fiesta,Massira 3,Marrakech,53000,2005,Manuelle,Essence,224999,Ford,Fiesta,5,WW au Maroc,Non,6,Très bon
volswagen golf 4,Autre secteur,Temara,74000,2003,Manuelle,Diesel,374999,Volkswagen,Golf 4,5,Dédouanée,Non,8,Très bon
clio4 blanche à vendre,Californie,Casablanca,,2022,Manuelle,Diesel,104999,Renault,Clio,5,WW au Maroc,Oui,6,Très bon
Volkswagen Tiguan Diesel Automatique 2019 à Meknès,Autre secteur,Meknès,,2019,Automatique,Diesel,144999,Volkswagen,Tiguan,5,Dédouanée,Oui,8,Excellent
ford,Aviation - Mabella,Rabat,,2021,Manuelle,Diesel,67499,Ford,Ecosport,,WW au Maroc,Oui,6,Excellent
Toyota corolla cross distinctive 2022,Route d'Immouzere,Fès,310000,2022,Automatique,Hybride,17499,Toyota,Corolla Cross,5,WW au Maroc,Oui,9,Excellent
Renault Laguna Essence Manuelle 2011 à Mohammedia,El Alia,Mohammedia,60000,2011,Manuelle,Essence,104999,Renault,Laguna,5,WW au Maroc,Non,11,Très bon
mercedes 220,Toute la ville,Zagora,90000,2004,Automatique,Diesel,324999,Mercedes-Benz,220,,Dédouanée,Non,8,Bon
Dacia logan n9ia,Toute la ville,Berrechid,62000,2012,Manuelle,Diesel,104999,Dacia,Logan,5,Dédouanée,,6,Très bon
Trafic,Quartier Aérodrome,El Jadida,53000,1994,Manuelle,Diesel,,Renault,Trafic,3,WW au Maroc,Non,8,Excellent
Renault Clio Essence Manuelle 2018 à El Jadida,Autre secteur,El Jadida,95000,2018,Manuelle,Essence,47499,Renault,Clio,5,,Non,7,Excellent
Ford Fiesta Diesel Manuelle 2018 à Casablanca,Hay Chrifa,Casablanca,125999,2018,Manuelle,Diesel,114999,Ford,Fiesta,5,WW au Maroc,Non,6,Excellent
Peugeot 3008 Diesel Automatique 2021 à Marrakech,Mabrouka,Marrakech,320000,2021,Automatique,Diesel,47499,Peugeot,3008,5,WW au Maroc,Oui,8,Excellent
Peugeot 407 Diesel Manuelle 2006 à Fès,Centre,Fès,60000,2006,Manuelle,Diesel,134999,Peugeot,407,5,WW au Maroc,Non,8,Très bon
c4 tres bonne etat,Saies,Fès,68000,2008,Manuelle,Diesel,224999,Citroen,C4,5,,Non,6,Très bon
berlingo avec clim,El Houda,Agadir,124000,2017,Manuelle,Diesel,124999,Citroen,Berlingo,,,,6,
Mégane,Toute la ville,Guelmim,52000,2001,Manuelle,Diesel,114999,Renault,Megane,5,WW au Maroc,Non,7,Très bon
Land Rover freelander diesel modile 2000,Toute la ville,Berkane,58000,2000,Manuelle,Diesel,32499,Land Rover,Freelander,5,Importée neuve,Non,8,Très bon
Volkswagen Golf 2018,Maarif,Casablanca,150000,2018,Automatique,Diesel,17499,Volkswagen,Golf 7,5,WW au Maroc,Oui,8,Très bon
clio 4 blanche a vendre deroua,Zone Industrielle,Casablanca,132000,2020,Manuelle,Diesel,104999,Renault,Clio,5,WW au Maroc,Oui,6,Très bon
FIAT DOBLO NOIR,Bouskoura centre,Bouskoura,,2017,Manuelle,Diesel,67499,Fiat,Doblo,5,,Non,6,Excellent
Renault Clio Diesel Automatique 2021 à Casablanca,Sidi Bernoussi,Casablanca,144000,2021,Automatique,Diesel,104999,Renault,Clio,5,WW au Maroc,Oui,6,Excellent
Peugeot partner,Toute la ville,Khemisset,,2005,Manuelle,Diesel,7499,Peugeot,Partner,,,Non,7,Correct
Peugeot white édition 30/11/2018,Alouane,Settat,124000,2019,Manuelle,Diesel,104999,Peugeot,208,5,WW au Maroc,Oui,6,Excellent
Honda Accord Essence Manuelle 1980 à Marrakech,Guéliz,Marrakech,35000,1980 ou plus ancien,Manuelle,Essence,,Honda,Accord,5,WW au Maroc,Non,9,Très bon
hyundai,Toute la ville,Had Soualem,190000,2021,Automatique,Diesel,37499,Hyundai,Accent,5,WW au Maroc,Oui,6,Excellent
Kia Picanto Essence Manuelle 2020 à Casablanca,Anfa,Casablanca,97000,2020,Manuelle,Essence,32499,Kia,Picanto,5,WW au Maroc,Non,6,Excellent
peugeot 407 diesel,Toute la ville,Larache,59000,2005,Manuelle,Diesel,194999,Peugeot,407,5,,,8,
Toyota Yaris Diesel Manuelle 2018 à Marrakech,Allal El Fassi,Marrakech,127000,2018,Manuelle,Diesel,87499,Toyota,Yaris,5,WW au Maroc,Oui,6,Excellent
C3 diesel manuel avec bon prix mrehba,Hamria,Meknès,120000,2019,Manuelle,Diesel,17499,Citroen,C3,5,WW au Maroc,Oui,6,Excellent
Volkswagen Touran Diesel Manuelle 2009 à Rabat,,,,2009,Manuelle,Diesel,194999,Volkswagen,Touran,5,WW au Maroc,Oui,8,Excellent
Citroen C1,Hay Oued Dahab,Salé,50000,2009,Manuelle,Diesel,7499,Citroen,C1,5,Dédouanée,Non,6,Très bon
Peugeot 309  6 khel,Anfa,Casablanca,,1989,Manuelle,Diesel,324999,Peugeot,309,,,,6,Très bon
Peugeot partner,Toute la ville,Khemisset,,2005,Manuelle,Diesel,2499,Peugeot,Partner,,,Non,7,Correct
Ford Focus Diesel Manuelle 2010 à Oualidia,Toute la ville,Oualidia,72000,2010,Manuelle,Diesel,274999,Ford,Focus,,,Non,7,Excellent
هونضة اكورد,Ben M'sick,Casablanca,43000,2005,Manuelle,Essence,224999,Honda,Accord,,Dédouanée,,12,Bon
Mercedes-Benz classe E 220d avant-garde,Guéliz,Marrakech,360000,2018,Automatique,Diesel,92499,Mercedes-Benz,Classe E,5,WW au Maroc,Oui,9,Neuf
hyuandai i40,Haut Agdal,Rabat,140000,2015,Automatique,Diesel,164999,Hyundai,i40,5,Dédouanée,Oui,7,Très bon
mercedes classe c300e hybride rechargeable AMG l,Toute la ville,Cabo Negro,551200,2022,Automatique,Essence,27499,Mercedes-Benz,300,5,Pas encore dédouanée,Oui,11,Excellent
clio 4 model 2017,Agdal,Rabat,123000,2017,Manuelle,Diesel,144999,Renault,Clio,5,WW au Maroc,,6,Excellent
peugoet 206,Autre secteur,El Jadida,,1999,Manuelle,Diesel,184999,Peugeot,206,5,WW au Maroc,Non,7,Bon
Renault Kangoo dci mliha,Aïn Chock,Casablanca,75000,2010,Manuelle,Diesel,224999,Renault,Kangoo,3,WW au Maroc,Non,8,Très bon
سيارة فورد مونديو جديدة,Agdal,Rabat,55000,2003,Manuelle,Diesel,7499,Ford,Mondeo,5,Dédouanée,Non,8,Excellent
Renault Express Diesel Manuelle 1998 à Settat,Smaâla,Settat,30000,1998,Manuelle,Diesel,22499,Renault,Express,3,WW au Maroc,Oui,7,Bon
hyundai i40 en bonne état,Haut Agdal,Rabat,,2015,Automatique,Diesel,164999,Hyundai,i40,5,Dédouanée,Oui,7,Très bon
HYUNDAI I30 EN EXCELLENT ETAT,Centre,Kénitra,120000,2013,Manuelle,Diesel,184999,Hyundai,i30,5,WW au Maroc,Non,6,
طويطا ياريس,Hay Essalam,El Jadida,60000,2008,Manuelle,Essence,22499,Toyota,Yaris,5,WW au Maroc,Non,6,Très bon
Fiat 127 Essence Manuelle 1980 à Meknès,Autre secteur,Meknès,,1980 ou plus ancien,Manuelle,Essence,324999,Fiat,127,5,Dédouanée,Oui,10,Excellent
Renault Megane Essence Manuelle 2003 à Kénitra,Bir Rami,Kénitra,39000,2003,Manuelle,Essence,22499,Renault,Megane,5,WW au Maroc,Non,9,Très bon
Peugeot 407,Toute la ville,Tinghir,59000,2004,Manuelle,Diesel,224999,Peugeot,407,5,Dédouanée,Non,8,Bon
peugeot 308,Oulfa,Casablanca,60000,2008,Manuelle,Essence,104999,Peugeot,308,5,,Non,8,Bon
Kia Picanto,Toute la ville,Khemisset,48000,2006,Manuelle,Essence,174999,Kia,Picanto,5,WW au Maroc,Non,6,Très bon
dacia,Toute la ville,Azrou,50000,2008,Manuelle,Diesel,474999,Dacia,Logan,5,WW au Maroc,Oui,6,Très bon
Dacia logan,Toute la ville,Amizmiz,71000,2015,Manuelle,Diesel,224999,Dacia,Logan,5,WW au Maroc,Non,6,Très bon
Volkswagen Golf 5 Diesel Manuelle 2004 à Rabat,Agdal,Rabat,75000,2004,Manuelle,Diesel,374999,Volkswagen,Golf 5,5,WW au Maroc,Non,8,Très bon
volkswagen passat B6,El Haouzia,Kénitra,,2007,Manuelle,Diesel,224999,Volkswagen,Passat,5,WW au Maroc,,8,Excellent
بيجو باقا نقية الروايض جداد,Souani,Tanger,30000,1997,Manuelle,Essence,12499,Peugeot,405,5,WW au Maroc,Non,7,Bon
ford,Toute la ville,Sidi Slimane,,2004,Manuelle,Essence,22499,Ford,Focus,5,Dédouanée,,8,Excellent
Audi Q8 Diesel Automatique 2021 à Casablanca,Anfa,Casablanca,730000,2021,Automatique,Diesel,67499,Audi,Q8,5,WW au Maroc,Oui,12,Excellent
BMW 525,Toute la ville,Berrechid,70000,2007,Automatique,Diesel,92499,BMW,Série 5,,WW au Maroc,Oui,11,Très bon
dacia duster  2012,Abdelmoumen,Casablanca,110000,2012,Manuelle,Diesel,174999,Dacia,Duster,,WW au Maroc,Oui,6,Très bon
Fiat Palio modèle 2000 Essence 6 cheveu,Hay Moulay Rachid 3,Casablanca,28000,2000,Manuelle,Essence,2499,Fiat,Palio,5,,Non,6,Très bon
peugeot,Maghreb Arabi,Temara,125000,2022,Manuelle,Diesel,104999,Peugeot,301,5,WW au Maroc,Non,6,Excellent
Dacia docker  commercial,Zone Industrielle Sidi Ghanem,Marrakech,95000,2017,Manuelle,Diesel,174999,Dacia,Dokker,5,WW au Maroc,Oui,6,Excellent
Hyundai Accent Diesel Manuelle 2006 à Agadir,Anza,Agadir,45000,2006,Manuelle,Diesel,224999,Hyundai,Accent,5,WW au Maroc,Non,6,Très bon
Dacia Logan 2013  63000,Ahlane,Tanger,63000,2013,Manuelle,Diesel,274999,Dacia,Logan,5,,,6,Bon
dacia  logan 2018,Sidi Bernoussi,Casablanca,95000,2018,Manuelle,Diesel,17499,Dacia,Logan,,,Non,6,
Peugeot 208 model fin 2018 white édition,Ahbas,Settat,125000,2019,Manuelle,Diesel,104999,Peugeot,208,5,WW au Maroc,Oui,6,Excellent
audi q5 sline quattro tres bon etat,Achakar,Tanger,440000,2017,Automatique,Diesel,224999,Audi,Q5,5,Dédouanée,Non,9,Excellent
Fiat grande punto,Agadir Oufella,Agadir,,2010,Manuelle,Essence,22499,Fiat,Punto,5,,Non,6,Excellent
Renault Kangoo,Toute la ville,Salé,95000,2012,Manuelle,Diesel,12499,Renault,Kangoo,5,,,6,Très bon
Duster à vendre,Branes 2,Tanger,158000,2018,Manuelle,Diesel,114999,Dacia,Duster,5,WW au Maroc,Oui,6,Très bon
mercedes c220 amg,Toute la ville,Fquih Ben Saleh,,2019,Automatique,Diesel,104999,Mercedes-Benz,220,5,Dédouanée,,8,Excellent
Skoda Octavia première main 2014,Hay Hassani,Casablanca,129000,2014,Manuelle,Diesel,154999,Skoda,Octavia,5,WW au Maroc,Oui,8,Très bon
Dacia logan,Aida,Tanger,108000,2019,Manuelle,Diesel,144999,Dacia,Logan,5,WW au Maroc,Non,6,Correct
Ford Fiesta 2017 Diesel,Bouskoura centre,Bouskoura,110000,2017,Manuelle,Diesel,124999,Ford,Fiesta,3,Dédouanée,Oui,5,Excellent
Jeep Cherokee Diesel Automatique 2022 à Casablanca,Aïn Diab,Casablanca,295000,2022,Automatique,Diesel,37499,Jeep,Cherokee,5,WW au Maroc,Oui,9,Excellent
Volkswagen Caddy 2011 Diwana 2016,Autre secteur,Meknès,137000,2011,Manuelle,Diesel,37499,Volkswagen,Caddy,,Dédouanée,,6,Excellent
nissan,Ahlane,Tanger,19600,1994,Manuelle,Diesel,12499,Nissan,Primera,3,WW au Maroc,Non,8,Excellent
Zotye Nomad Essence Manuelle 2011 à Agadir,Abattoirs,Agadir,48000,2011,Manuelle,Essence,184999,Zotye,Nomad,5,WW au Maroc,Non,7,Bon
سيارة داصيا,Sidi Moumen,Casablanca,72000,2012,Manuelle,Diesel,274999,Dacia,Logan,5,WW au Maroc,Non,6,Très bon
Toyota 4 Runner,Saada,El Jadida,,2010,Manuelle,Essence,7499,Toyota,4Runner,3,,Non,4,Excellent
bmw 525d   avedr,2 Mars,Casablanca,70000,2007,Automatique,Diesel,92499,BMW,Série 5,,WW au Maroc,Oui,11,Très bon
Fiat Freemont,Hay Riad,Rabat,110000,2013,Automatique,Diesel,194999,Fiat,Freemont,,WW au Maroc,,8,Excellent
BMW Série 5 Diesel - E60 525d,Hay Salam,Salé,95000,2006,Automatique,Diesel,224999,BMW,Série 5,5,WW au Maroc,Oui,10,Excellent
mégane 3,Toute la ville,Berkane,98000,2012,Manuelle,Diesel,194999,Renault,Megane,5,WW au Maroc,Non,6,Excellent
mercedes E220D,Centre Ville,Agadir,410000,2020,Automatique,Diesel,82499,Mercedes-Benz,Classe E,,WW au Maroc,Oui,9,Excellent
نيسان بريميرا همزة,Marjane,Tanger,19500,1994,Manuelle,Diesel,7499,Nissan,Primera,5,WW au Maroc,Non,8,Excellent
Golf 7 boite a vitesse automatique couleur blanche,Autre secteur,Fès,175000,2018,Automatique,Diesel,144999,Volkswagen,Golf 7,5,WW au Maroc,Non,8,Très bon
Volkswagen Golf 5 Diesel 1.9 2006,Toute la ville,Taourirt,92500,2006,Manuelle,Diesel,274999,Volkswagen,Golf 5,5,Importée neuve,Non,8,Très bon
Tiguan 2019,Inara,Tétouan,,2019,Manuelle,Diesel,114999,Volkswagen,Tiguan,5,Dédouanée,Oui,11,Excellent
Citroën c3,La Hacienda,Meknès,95000,2017,Manuelle,Diesel,114999,Citroen,C3,5,,Non,6,Très bon
Hyundai accent,Toute la ville,Settat,178000,2021,Automatique,Diesel,52499,Hyundai,Accent,5,WW au Maroc,Oui,6,Neuf
Ford kuga 2 à vendre en excellent état,Riad Oulad Mtaa,Temara,,2014,Manuelle,Diesel,184999,Ford,Kuga,5,,Non,8,Excellent
Opel Crossland X Diesel Manuelle 2023 à Kénitra,Centre,Kénitra,185000,2023,Manuelle,Diesel,2499,Opel,Crossland,5,WW au Maroc,Oui,6,Excellent
Dacia Dokker,Autre secteur,Meknès,133000,2020,Manuelle,Diesel,104999,Dacia,Dokker,3,,Non,6,Neuf
Peugeot 309,Abi Ragrag,Rabat,22000,2024,Manuelle,Diesel,7499,Peugeot,309,5,Dédouanée,Non,7,Correct
Ford focus 1 moteur TDCI,Ain Sebaa,Casablanca,530000,2002,Manuelle,Diesel,424999,Ford,Focus,5,Importée neuve,Non,7,Très bon
mercedes,Diour Jamaa,Rabat,125000,2010,Manuelle,Diesel,104999,Mercedes-Benz,220,,WW au Maroc,Non,9,Excellent
Land Rover Evoque,Branes 2,Tanger,265000,2017,Automatique,Diesel,104999,Land Rover,Range Rover Evoque,5,WW au Maroc,Non,8,Excellent
Ford focus 1 moteur TDCI Md 2002 clima digital,Ain Sebaa,Casablanca,53000,2002,Manuelle,Diesel,424999,Ford,Focus,5,Importée neuve,Non,6,Très bon
Citroen Berlingo Diesel Manuelle 2015 à Tanger,Ahammar,Tanger,115000,2015,Manuelle,Diesel,174999,Citroen,Berlingo,5,WW au Maroc,Non,6,Excellent
Mercedes benz,Hay Al Farah,Rabat,125000,2010,Manuelle,Diesel,104999,Mercedes-Benz,Classe CLC,,WW au Maroc,,9,Excellent
Fiat Doblo Diesel  frigorifique 2017 à Marrakech,Azzouzia,Marrakech,83000,2017,Manuelle,Diesel,184999,Fiat,Doblo,3,WW au Maroc,Non,6,Très bon
Chevrolet Spark Essence Manuelle 2009 à Casablanca,Aïn Chock,Casablanca,,2009,Manuelle,Essence,424999,Chevrolet,Spark,5,WW au Maroc,Oui,5,Très bon
Citrwen C 4,Mèdina,Meknès,56000,2009,Automatique,Essence,184999,Citroen,C4,5,WW au Maroc,Non,8,Très bon
Renault 19,Autre secteur,Temara,45000,1995,Manuelle,Essence,7499,Renault,19,,WW au Maroc,Non,7,Excellent
mercedes,Toute la ville,Zagora,92000,2004,Automatique,Diesel,324999,Mercedes-Benz,220,,Dédouanée,Non,8,Bon
tesla Y 2021,Aïn Chock,Casablanca,480000,2021,Automatique,Electrique,62499,Tesla,Model Y,,Pas encore dédouanée,Non,10,Excellent
Mercedes-Benz 250 Diesel Automatique 2009 à Fnideq,Toute la ville,Fnideq,170000,2009,Automatique,Diesel,274999,Mercedes-Benz,250,5,Importée neuve,Non,9,Très bon
Lifan,Toute la ville,Tiznit,,2010,Manuelle,Essence,134999,Lifan,320,5,,,8,Très bon
accent 2021,Iris,Oujda,145000,2021,Automatique,Diesel,82499,Hyundai,Accent,5,,Oui,6,Excellent
Citroen c4 toute option,2 Mars,Casablanca,,2009,Manuelle,Diesel,184999,Citroen,C4,5,WW au Maroc,Non,6,Très bon
ford fiesta en bon état,Ain Sebaa,Casablanca,62000,2007,Manuelle,Diesel,274999,Ford,Fiesta,5,,Non,6,Très bon
cayenne très propre,Av des Far,Agadir,380000,2015,Automatique,Diesel,194999,Porsche,Cayenne,5,WW au Maroc,Non,12,Très bon
Volkswagen Passat Diesel Automatique 2008,Anfa,Casablanca,86000,2008,Automatique,Diesel,324999,Volkswagen,Passat,5,WW au Maroc,Non,8,Excellent
golf 4,El Qaria,Salé,75000,2003,Manuelle,Diesel,374999,Volkswagen,Golf 4,5,Dédouanée,Non,8,Bon
Fiat grande punto,Agadir Oufella,Agadir,,2010,Manuelle,Essence,22499,Fiat,Punto,5,,Non,6,Excellent
Toyota RAV 4 Diesel Manuelle 2018 à Berrechid,Toute la ville,Berrechid,255000,2018,Manuelle,Diesel,114999,Toyota,RAV 4,5,WW au Maroc,Oui,8,Excellent
Renault Kangoo,Aïn Chock,Casablanca,147000,2021,Manuelle,Diesel,97499,Renault,Kangoo,5,WW au Maroc,Non,6,Neuf
Citroën c3,La Hacienda,Meknès,95000,2017,Manuelle,Diesel,114999,Citroen,C3,5,,Non,6,Excellent
Renault Clio 2 à Oujda,Hay Salam,Oujda,47000,2002,Manuelle,Essence,224999,Renault,Clio,5,WW au Maroc,Non,6,Très bon
Mercedes c 200,Centre Ville,Temara,198000,2016,Manuelle,Diesel,184999,Mercedes-Benz,Classe C,,,,7,Excellent
Audi Q2 Diesel Automatique 2018 à Marrakech,Massira 3,Marrakech,280000,2018,Automatique,Diesel,42499,Audi,Q2,5,WW au Maroc,Oui,8,Excellent
ford focus 1.8 tdci,Toute la ville,Dakhla,68000,2006,Manuelle,Diesel,224999,Ford,Focus,5,,,7,Très bon
Jaguar XF Diesel Automatique 2018 à Dar Bouazza,Toute la ville,Dar Bouazza,270000,2018,Automatique,Diesel,134999,Jaguar,XF,5,WW au Maroc,Oui,8,Excellent
Ford Fusion Diesel Automatique 2019 à Salé,Al Mouahidine,Salé,227000,2019,Automatique,Diesel,194999,Ford,Fusion,5,WW au Maroc,Non,8,Bon
range rover sport autobiographie,Aïn Chock,Casablanca,380000,2015,Automatique,Diesel,174999,Land Rover,Range Rover Sport,5,Importée neuve,Non,12,Bon
renault R19,Toute la ville,Tinghir,36000,1995,Manuelle,Diesel,374999,Renault,R19,5,Importée neuve,Non,7,Très bon
tesla model 3,Ain Sebaa,Casablanca,380000,2021,Automatique,Electrique,154999,Tesla,Model 3,,Pas encore dédouanée,Non,10,Excellent
dacia logan,Zouagha,Fès,133000,2021,Manuelle,Diesel,2499,Dacia,Logan,5,Dédouanée,Non,6,Très bon
Mercedes-Benz Classe GLS Diesel Automatique 2017,Aïn Borja,Casablanca,,2017,Automatique,Diesel,92499,Mercedes-Benz,Classe GLS,,WW au Maroc,Non,8,Excellent
nmw serie 318 pack M,Aïn Chock,Casablanca,390000,2020,Automatique,Diesel,62499,BMW,Série 3,5,WW au Maroc,Non,8,Excellent
vw Touareg v6,Aïn Chock,Casablanca,,2018,Automatique,Diesel,2499,Volkswagen,Touareg,5,WW au Maroc,Non,12,Très bon
Ford fiesta essence,Toute la ville,Laâyoune,67000,2011,Manuelle,Essence,134999,Ford,Fiesta,5,WW au Maroc,Non,6,Très bon
Mercedes C220,Bir Anzarane,Kénitra,,2001,Manuelle,Diesel,274999,Mercedes-Benz,220,5,Dédouanée,Non,8,Très bon
kangoo,Autre secteur,Casablanca,82000,2012,Manuelle,Diesel,104999,Renault,Kangoo,5,,,6,Très bon
Renault Megane Diesel Manuelle 2018 à Meknès,Marjane 2,Meknès,150000,2018,Manuelle,Diesel,124999,Renault,Megane,5,WW au Maroc,Oui,7,Très bon
dacia logan,Sidi Othmane,Casablanca,94000,2018,Manuelle,Diesel,12499,Dacia,Logan,,,,6,
Hyundai Santa Fe Diesel Automatique 2014 à Tanger,Administratif,Tanger,150000,2014,Automatique,Diesel,224999,Hyundai,Santa Fe,5,WW au Maroc,Non,8,Excellent
Kia Sportage Diesel 08/2021 Star&Stop 1er Main,Tabriquet,Salé,220000,2021,Manuelle,Diesel,62499,Kia,Sportage,5,WW au Maroc,Oui,6,Excellent
dacia logan model 2018 mois 12,Toute la ville,Ait Melloul,83000,2018,Manuelle,Diesel,224999,Dacia,Logan,5,WW au Maroc,,6,
Volkswagen Golf 7 Diesel Manuelle 2018,Belvédère,Casablanca,180000,2018,Manuelle,Diesel,124999,Volkswagen,Golf 7,5,WW au Maroc,Oui,8,Très bon
Honda Accord Essence Automatique Stage 1,Al Qods,Casablanca,78000,2009,Automatique,Essence,154999,Honda,Accord,5,WW au Maroc,Non,13,Excellent
alfa romeo,Toute la ville,Berrechid,32000,2003,Manuelle,Diesel,17499,Alfa Romeo,156,5,Dédouanée,Non,8,Très bon
renault r19,Aouama Gharbia,Tanger,,1990,Manuelle,Diesel,324999,Renault,Clio,,,,9,Très bon
Audi silane Q,Aïn Diab,Casablanca,,2012,Automatique,Diesel,124999,Audi,A6,5,WW au Maroc,Oui,12,Excellent
Ford Fiesta Diesel Manuelle 2013 à Essaouira,Ghazoua,Essaouira,93000,2013,Manuelle,Diesel,224999,Ford,Fiesta,5,WW au Maroc,,6,Excellent
duster,Abdelmoumen,Casablanca,235000,2024,Manuelle,Diesel,22499,Dacia,Duster,,,,6,Neuf
Ford Ecosport Diesel Manuelle 2018 à Tanger,Autre secteur,Tanger,159000,2018,Manuelle,Diesel,124999,Ford,Ecosport,5,WW au Maroc,Oui,6,Excellent
Renault Kangoo Diesel Manuelle 2018 à Rabat,Riyad,Rabat,130000,2018,Manuelle,Diesel,164999,Renault,Kangoo,5,WW au Maroc,Oui,6,Excellent
renault clio 4,Aïn Chock,Casablanca,,2016,Manuelle,Diesel,144999,Renault,Clio,5,WW au Maroc,Oui,6,Excellent
